date,symbol,startTime,endTime,session,magic,priceStart,priceEnd,priceDiff,profit,type,MFE,MAE,mfeCandle,maeCandle,close_decision,close_detail,reason,volume,bothComments,level,levelTag,planTradeNumToday,levelTradeNumToday,offset,tp,sl,greenRatio_at_close,avg_profitVelocity_5,secondsGreen,secondsRed,time_to_reach_neutral_TP,3c_30c_level_breakevenC,gapFillPc_at_tradeOpenTime,openGap_info,PD_trend,dayBrokePDH,dayBrokePDL,referencePointsAbove,referencePointsBelow,levelCats,wCeilingC,dCeilingC,wBounceC,dBounceC
2026.01.05,US500.pro,2026.01.05 03:37:02,2026.01.05 03:47:26,ON,101153704110002222,6909.3,6911.8,2.5,0.47,DEAL_TYPE_BUY,2.5,-1.2,10,5,strong_momentum_stall,profit=2.5|stallMinClose=2.5|stall_velocity|vel=0.000|velMax=0.100|giveback=0.0|givebackMax=99.0,DEAL_REASON_EXPERT,0.001,Falgo_placeholder| ,6909.0,weeklySmash,1,1,0.3,11.0,11.0,0.5378,0.069,299,213,521,,unknown,unknown,PD_red,false,false,PDO;PDH;ONH;dayHighSoFar,PDL;PDC;ONL;dayLowSoFar;midpoint,weekly_smash_stacked_friday_monday_thursday_tuesday,7,7,3,3
2026.01.05,US500.pro,2026.01.05 03:37:02,2026.01.05 03:47:26,ON,151153704110002222,6909.3,6911.8,2.5,0.47,DEAL_TYPE_BUY,2.5,-1.2,10,5,strong_momentum_stall,profit=2.5|stallMinClose=2.5|stall_velocity|vel=0.000|velMax=0.100|giveback=0.0|givebackMax=99.0,DEAL_REASON_EXPERT,0.001,Falgo_placeholder| ,6909.0,weeklySmash,1,1,0.3,11.0,11.0,0.5378,0.069,299,213,521,,unknown,unknown,PD_red,false,false,PDO;PDH;ONH;dayHighSoFar,PDL;PDC;ONL;dayLowSoFar;midpoint,weekly_smash_stacked_friday_monday_thursday_tuesday,7,7,3,3
2026.01.05,US500.pro,2026.01.05 16:27:34,2026.01.05 16:37:06,RTH-IB,122160014110002222,6950.6,6952.5,-1.9,-0.36,DEAL_TYPE_SELL,0.1,-6.9,1,8,terribletrade_try_smaller_loss_TP,profit=-1.9|target=-2.0|MAE=-6.9,DEAL_REASON_EXPERT,0.001,Falgo_placeholder| ,6952.0,weeklyUp1,1,1,1.4,11.0,11.0,0.0018,-0.029,1,565,,,4.39,gapUp_Day,PD_red,true,false,RTHH;dayHighSoFar,PDO;PDH;PDL;PDC;ONH;ONL;RTHL;dayLowSoFar;midpoint,weekly_stacked_friday_monday_thursday_tuesday_wednesday,0,0,0,0
2026.01.05,US500.pro,2026.01.05 16:27:34,2026.01.05 16:37:06,RTH-IB,142160014110002222,6950.6,6952.5,-1.9,-0.36,DEAL_TYPE_SELL,0.1,-6.9,1,8,terribletrade_try_smaller_loss_TP,profit=-1.9|target=-2.0|MAE=-6.9,DEAL_REASON_EXPERT,0.001,Falgo_placeholder| ,6952.0,weeklyUp1,1,1,1.4,11.0,11.0,0.0018,-0.029,1,565,,,4.39,gapUp_Day,PD_red,true,false,RTHH;dayHighSoFar,PDO;PDH;PDL;PDC;ONH;ONL;RTHL;dayLowSoFar;midpoint,weekly_stacked_friday_monday_thursday_tuesday_wednesday,0,0,0,0
2026.01.05,US500.pro,2026.01.05 16:37:05,2026.01.05 16:47:09,RTH-afterIB,101161004210002222,6952.3,6953.6,1.3,0.25,DEAL_TYPE_BUY,1.3,-4.0,11,8,badtrade_try_save_TP,profit=1.3|target=1.0|MAE=-4.0,DEAL_REASON_EXPERT,0.001,Falgo_placeholder| ,6952.0,weeklyUp1,2,1,0.3,11.0,11.0,0.0371,0.024,22,556,,,4.39,gapUp_Day,PD_red,true,false,RTHH;IBH;dayHighSoFar,PDO;PDH;PDL;PDC;ONH;ONL;RTHL;IBL;dayLowSoFar;midpoint,weekly_stacked_friday_monday_thursday_tuesday_wednesday,0,0,1,1
2026.01.05,US500.pro,2026.01.05 16:37:05,2026.01.05 16:47:09,RTH-afterIB,151161004210002222,6952.3,6953.6,1.3,0.25,DEAL_TYPE_BUY,1.3,-4.0,11,8,badtrade_try_save_TP,profit=1.3|target=1.0|MAE=-4.0,DEAL_REASON_EXPERT,0.001,Falgo_placeholder| ,6952.0,weeklyUp1,2,1,0.3,11.0,11.0,0.0371,0.024,22,556,,,4.39,gapUp_Day,PD_red,true,false,RTHH;IBH;dayHighSoFar,PDO;PDH;PDL;PDC;ONH;ONL;RTHL;IBL;dayLowSoFar;midpoint,weekly_stacked_friday_monday_thursday_tuesday_wednesday,0,0,1,1
2026.01.05,US500.pro,2026.01.05 17:18:43,2026.01.05 17:22:51,RTH-afterIB,101162104320002222,6952.3,6954.8,2.5,0.47,DEAL_TYPE_BUY,2.5,-1.5,5,1,strong_momentum_stall,profit=2.5|stallMinClose=2.5|stall_velocity|vel=0.000|velMax=0.100|giveback=0.0|givebackMax=99.0,DEAL_REASON_EXPERT,0.001,Falgo_placeholder| ,6952.0,weeklyUp1,3,2,0.3,11.0,11.0,0.5410,0.121,132,96,201,15,4.39,gapUp_Day,PD_red,true,false,RTHH;IBH;dayHighSoFar,PDO;PDH;PDL;PDC;ONH;ONL;RTHL;IBL;dayLowSoFar;midpoint,weekly_stacked_friday_monday_thursday_tuesday_wednesday,1,1,2,2
2026.01.05,US500.pro,2026.01.05 17:18:43,2026.01.05 17:22:51,RTH-afterIB,151162104320002222,6952.3,6954.8,2.5,0.47,DEAL_TYPE_BUY,2.5,-1.5,5,1,strong_momentum_stall,profit=2.5|stallMinClose=2.5|stall_velocity|vel=0.000|velMax=0.100|giveback=0.0|givebackMax=99.0,DEAL_REASON_EXPERT,0.001,Falgo_placeholder| ,6952.0,weeklyUp1,3,2,0.3,11.0,11.0,0.5410,0.121,132,96,201,15,4.39,gapUp_Day,PD_red,true,false,RTHH;IBH;dayHighSoFar,PDO;PDH;PDL;PDC;ONH;ONL;RTHL;IBL;dayLowSoFar;midpoint,weekly_stacked_friday_monday_thursday_tuesday_wednesday,1,1,2,2
2026.01.05,US500.pro,2026.01.05 18:26:11,2026.01.05 18:47:54,RTH-afterIB,101163104430002222,6952.3,6955.6,3.3,0.61,DEAL_TYPE_BUY,3.5,-1.7,22,3,strong_momentum_stall,profit=3.3|stallMinClose=2.5|stall_velocity|vel=0.000|velMax=0.100|giveback=-0.2|givebackMax=99.0,DEAL_REASON_EXPERT,0.001,Falgo_placeholder| ,6952.0,weeklyUp1,4,3,0.3,11.0,11.0,0.4981,0.033,642,542,765,,4.39,gapUp_Day,PD_red,true,false,RTHH;IBH;dayHighSoFar,PDO;PDH;PDL;PDC;ONH;ONL;RTHL;IBL;dayLowSoFar;midpoint,weekly_stacked_friday_monday_thursday_tuesday_wednesday,1,1,3,3
2026.01.05,US500.pro,2026.01.05 18:26:11,2026.01.05 18:47:54,RTH-afterIB,151163104430002222,6952.3,6955.6,3.3,0.61,DEAL_TYPE_BUY,3.5,-1.7,22,3,strong_momentum_stall,profit=3.3|stallMinClose=2.5|stall_velocity|vel=0.000|velMax=0.100|giveback=-0.2|givebackMax=99.0,DEAL_REASON_EXPERT,0.001,Falgo_placeholder| ,6952.0,weeklyUp1,4,3,0.3,11.0,11.0,0.4981,0.033,642,542,765,,4.39,gapUp_Day,PD_red,true,false,RTHH;IBH;dayHighSoFar,PDO;PDH;PDL;PDC;ONH;ONL;RTHL;IBL;dayLowSoFar;midpoint,weekly_stacked_friday_monday_thursday_tuesday_wednesday,1,1,3,3
